text,label,source
"Potential COVID-19 Plateau Seen in NY and NJ. april 8 2020 state officials have noted a potential leveling off of covid-19 cases in hotspots new york and new jersey though the number of deaths continues to grow. new york had 731 deaths from the coronavirus on monday which was the largest one day increase so far gov. andrew cuomo said during his daily briefing on tuesday. the states total number of deaths is almost 5,500. behind every one of those numbers is an individual is a family is a mother is a father is a sister is a br.",1,CoAID
"Web-based counseling reduces blood pressure, according to a new study. The study also measured changes in risk scores of developing heart disease and stroke in the next 10 years, diastolic blood pressure, dietary changes, smoking cessation, cholesterol levels excluding the good cholesterol (HDL) and pulse pressure, which is the difference between the higher and lower (diastolic) numbers on the blood pressure reading.

AD

AD

Results showed some gender-based disparities. Women in the treatment group had an average diastolic blood pressure reduction of 6 mmHg while men in the same group had an average 4 mmHg reduction.

“The electronic counseling (e-Counseling) intervention had an effect similar to that of adding an additional blood-pressure-lowering medication,” said Robert P. Nolan, the lead author of the study, a senior scientist at the Peter Munk Cardiac Center at the University Health Network and an associate professor at the University of Toronto.

The randomized, double-blind study included 264 participants with an average age of 58, of whom 58 percent were women. The participants were divided into two groups, one of which received weekly emails with generic information about healthy living that is good for the heart and for reducing high blood pressure, and the other group received weekly emails with links to interactive tools and online multimedia, such as videos of people diagnosed with high blood pressure who made lifestyle changes. These tools were carefully chosen to increase in knowledge about and motivation to maintain a heart-healthy lifestyle.

AD

AD

“In the e-Counseling intervention we tried to replicate the experience of going through face-to-face lifestyle counseling for a year,” Nolan said.

High blood pressure affects 1 in every 3 adults in the United States, according to a fact sheet by the Centers for Disease Control and Prevention. In 2013, high blood pressure was the major cause behind 360,000 deaths in the United States. Reduction in high blood pressure has added health benefits because it can potentially reduce the likelihood of heart attacks, strokes, chronic heart failure and kidney disease.

Engaging patients in such a way could be a very powerful tool in promoting behavioral change, Nolan said.

AD

“I am so happy to see this on the agenda for three main reasons. In part, most of the studies here today show what to do — not how to achieve it,” said Eric Peterson, a professor at Duke University School of Medicine and an associate editor of the Journal of the American Medical Association, during the conference. “Secondly, we only look at the trade-off between efficacy and safety, but your study is looking more at efficacy and effectiveness and practicality, issues that are also very important. And finally, this is a very real world study.”

AD

The study was received well by the audience. “No one should die of hypertension. The study is very useful in telling and confirming that we should talk to the patients, no matter how we do it,” said Bernard Wong, a cardiologist based in Hong Kong.

One of the caveats of the study was that participants were highly motivated people looking for ways to cope with and decrease their blood pressure. Participants were also largely white and well-educated, with most having a postsecondary education, so the results of the study might not be generalize well to other groups.

AD",1,FakeHealth-HealthStory
An image appearing to be an publication by the World Health Organization (WHO) shows that the global health body does not recommend mask-wearing during the COVID-19 pandemic.,0,CoAID
"Panic disorder treatment could be breath of fresh air. Paul Lehrer, a respiration expert at Rutgers University, said that hyperventilation alone would create a host of disturbing symptoms that could trigger emotional reactions, but that the pace and regularity of breathing were also important. No one breathes in perfect rhythm all day. We hold our breath when we're concentrating. We take in more air when we exercise. Irregular breathing in the form of frequent sighing and yawning, though, brings in more air and can contribute to hyperventilation. Breath-holding, and the subsequent compensation, also can lead to hyperventilation.",1,FakeHealth-HealthStory
How to Vote Safely in Person This November. this election year is marked by unprecedented challenges. beyond intense political discourse and concerns over election integrity is ever looming presence of covid-19 pandemic. in same way that covid-19 outbreak upended all aspects of our daily lives from working in office to going to school how we vote has changed as well. this has left voters with many questions about how best to cast their ballot on november 3 including how they can vote safely if they choose to do i.,1,CoAID
Evidence shows the WHO director-general overstated COVID-19 fatality rate. the controversial ethiopian politician and director general of the world health organization who claimed in a press conference in early march that the fatality rate for the coronavirus was many multiples that of the fatality rate of the common flu. this egregiously false premise has led to the greatest panic in world history. the director general of the who spoke on march 3 2020 and shared this related to the coronavirus while many people globally have built up immunity to seasonal flu.,0,CoAID
Have the Public Health Restrictions Gone Too Far for COVID-19?. what your doctor is reading on medscape.com february 19 2020 -- on january 31 health and human services hhs secretary alex m. azar ii declared a formal public health emergency in response to the rising number of cases of coronavirus disease 2019 covid-19 around the world and in the united states. the declaration allows the government to introduce temporary measures to help contain the spread of the virus. but some legal experts question the efficacy and legality of certain approaches th.,1,CoAID
"Focused brain ultrasound offers some hope for essential tremor. Sharon Samuels was a teenager when she was first diagnosed with essential tremor. Over the years her condition worsened, until a new therapy came along to help improve her brain's motor circuit.

For decades, Sharon Samuels struggled with simple everyday tasks like brushing her teeth, buttoning her shirt, putting on makeup, and eating food.

“I did not want to go out socially with other people, especially people who I did not know, because I could see them looking at me. And the feeling was horrible,” she recalled. “It would take my heart away when I was trying to eat and I’d look up and they were looking at me.”

Samuels, 72, has essential tremor, a movement disorder characterized by uncontrollable shaking mostly in the hands or legs. An estimated 10 million people in the United States suffer from the condition, according to the International Essential Tremor Foundation. The disorder isn’t fatal, but it tends to get worse with age and to affect patients’ quality of life.

advertisement

Doctors usually treat essential tremor with medication, but the drugs don’t work well for all patients. Now a new trial finds that a treatment to kill off neurons in a certain region of the brain can do away with tremors in some patients who don’t respond to drugs. But the procedure brings lasting side effects in some patients, and its long-term usefulness is still being studied.

In an ongoing clinical trial at 11 medical centers globally, researchers are using ultrasound waves to treat the source of essential tremor in the brain. The therapy, called focused ultrasound thalamotomy, uses the energy generated by sound waves to burn off certain cells in the thalamus, a region of the brain where the essential tremor is thought to originate.

Patients are placed in an MRI machine with their head secured in place in a special helmet. They are awake as doctors aim over 1,000 low-energy ultrasound waves to create a lesion — an injury to the tissue — inside the thalamus.

“As we make the test lesion, we see a subtle improvement in their tremor and the patients notice it,” said Dr. Rees Cosgrove who is leading the trial at Brigham and Women’s Hospital in Boston. Brigham is one of the six centers running the trial in the US.

“As we enlarge the lesion, the tremor just stops and they’ll just look at their hand. It has been shaking for years and they look at it as though, ‘Hmm, is this really my hand?’ It’s really a remarkable moment.”

For Samuels, who underwent the procedure on June 29, the recovery has been surprising. She had been taking tremor medication for almost a decade with little improvement. After the procedure, which only focused on her left hand, her tremor there has almost disappeared.

“This has changed the quality of my life,” she said. “Now, it’s a pleasure, I can sign my name, I can write. I can eat like a normal person, doing things that I couldn’t do before.”

Sharon Samuels performs an Archimedes spiral drawing test before and after her treatment for essential tremor in her left hand. Suzanna Masih and Hyacinth Empinado/STAT

In July, the Food and Drug Administration approved the device being used in the trial. It has been developed by InSightec, which is funding the trial along with the Focused Ultrasound Foundation and the Binational Industrial Research and Development Foundation.

A pilot study on MRI-guided focused ultrasound treatment was published in 2013.

The randomized trial provides further data on the treatment. In the study, published in the New England Journal of Medicine on Wednesday, 76 patients were treated with focused ultrasound, and their tremor was evaluated after the first, third, sixth, and 12th month. Researchers found that the severity of essential tremor reduced significantly over that time in the patients who underwent the treatment versus those who had a sham procedure. The treated group also evaluated their quality of life as much better than before the procedure, despite a few persistent side effects like gait disturbance and paresthesia — the sensation of prickling pins and needles.

Newsletters Sign up for The Readout Your daily guide to what’s happening in biotech. Please enter a valid email address. Privacy Policy Leave this field empty if you're human:

Neurologist Dr. Bryan Ho, who is not involved in the trial, noted that tremor suppression remained sustained throughout the 12 months. But he expressed concern about the side effects of the treatment.

“Over a third of patients actually experienced either gait disturbance or paresthesia. It’s a pretty high incidence of side effects,” said Dr. Ho, who is the director of the Movement Disorders Program at Tufts Medical Center.

He added that since these patients were only followed for a year, there isn’t enough data available yet to determine the long-term efficacy of the treatment.

“It’s one and done,” he said. “Patients may have some benefit for a period of time, but how do they do five years from now or 10 years from now after the treatment? That needs to be shown.”

The researchers are in the process of collecting this data; the clinical trial will run until December. The doctors at Brigham will follow up with Samuels — and others who undergo the treatment — for up to five years and run more MRI scans and neurological exams to find out for how long the lesion lasts and keeps the tremor suppressed.

For now, the treatment has had an immense impact on patients’ lives. “These people are able to go back and now use that hand like you and I use our hands, without thinking about it,” said Dr. Cosgrove.

“They can write their names again, they can feed themselves, they are not embarrassed about being in public. So it really is extraordinarily helpful for people.”",1,FakeHealth-HealthStory
"ÒWhile all COVID-19 news has been going on, the U.S. government has been sneakily trying to remove end-to-end encryptionÓ which means Òthe government will be able to see all of your messages and listen to all of your calls.Ó",0,CoAID
What key measures to protect against COVID-19 should be undertaken in ALL workplaces?,1,CoAID-Claim
Cleaning and Disinfecting Your Facility. centers for disease control and prevention. cdc twenty four seven. saving lives protecting people centers for disease control and prevention. cdc twenty four seven. saving lives protecting people.,1,CoAID
“George Floyd’s ‘murder’ filmed before COVID-19.”,0,CoAID
COMMENTARY: A Better Way to Prioritize Essential Care During COVID-19. what your doctor is reading on medscape.com april 15 2020 -- the covid-19 epidemic has put unprecedented strain on the us healthcare system. equipment is running out physicians are falling ill and case numbers are still growing exponentially from day to day. to accommodate this increase in volume the centers for medicare medicaid services along with many state agencies has issued directives that nonessential care be discontinued in the hopes that those resources and personnel can be.,1,CoAID
The U.S. government has released their initial plans to force a vaccine on everyone; three potential vaccines are currently in Stage 3 trials in the U.S. and could be ready in weeks. earlier today trump administration released its plans to vaccine everyone in short time. three potential vaccines are currently in stage 3 trials in united states and could be ready in weeks president donald trump said tuesday. time is running out. and trump has military lined up and ready to distribute this vaccine to public whether you want it or not. plan is to distribute vaccine first to health care and other vital workers as well as those most vulnerable like.,0,CoAID
Guidance for Pharmacies. coronavirus disease 2019 covid-19 is a respiratory illness caused by a virus called sars cov-2. our understanding of how the virus spreads is evolving as we learn more about it. among adults the risk for severe illness from covid-19 increases with age with older adults at highest risk. people of any age with certain underlying medical conditions are at increased risk for severe illness from covid-19.,1,CoAID
"Is It Flu, Or Flu-Like? It's Miserable Either Way. jan. 14 2020 -- when you do nt feel well this time of year figuring out the cause is important because it will point you to you treatments that can make you feel better and even shorten the time you re sick. but figuring out what you have is nt always easy. that was the case for amber yahle of springfield va. when she first got sick in january she assumed it was a stomach bug and not the flu because she had gotten a flu shot in october. but her symptoms worsened so quickly she ended up i.",1,CoAID
"Artificial sweetener may help treat aggressive cancers, study finds. For years, negative reports have surrounded artificial sweeteners, claiming evidence of everything from being a carcinogen to causing cardiovascular disease. But now new research suggests a popular sugar substitute could lead to new treatments for some of the most common types of cancers.

In findings presented at the National Meeting and Exposition of the American Chemical Society (ACS), a team of researchers from the University of Florida College of Medicine examined how saccharin, the artificial sweetener that is the main ingredient in Sweet 'N Low®, Sweet Twin® and Necta®, reacted with a protein found in aggressive cancer cells.

ADVERTISEMENT ADVERTISEMENT

The protein, called carbonic anhydrase IX (CA IX), regulates pH in and around cancer cells, allowing tumors to thrive and potentially metastasize to other parts of the body. It is found in a wide range of aggressive cancers, including breast, lung, liver, prostate, pancreatic and kidney cancer.

“If you disrupt this pH balance via blocking CA IX activity, you can stop these cancer cells from growing and proliferating,” study author Brian Mahon, a graduate research assistant at the University of Florida, told FoxNews.com.

Mahon said the research stemmed from a study from the University of Florence in Italy that suggested saccharin would selectively block the activity of CA IX. He said his team, led by University of Florida’s Dr. Robert McKenna, wanted to further investigate saccharin’s effect in treating cancer.

""It never ceases to amaze me how a simple molecule such as saccharin— something many people put in their coffee every day— may have untapped uses, including as a possible lead compound to target aggressive cancers,"" McKenna said.

CA IX is not normally found in healthy human cells. McKenna said that’s why it’s a prime target for anti-cancer drugs, as they would cause little to no side effects to healthy tissue surrounding the tumor. Previous attempts to find an element that blocks CA IX without damaging other cells have been unsuccessful.

Researchers used X-ray crystallography to determine how saccharin binds to CA IX, and are using that information to develop ways to fine-tune and improve its anti-cancer treatment potential. The goal is to develop drugs that could slow the growth of these cancers and potentially make them less resistant to chemo or radiation therapies. Currently, saccharin’s effects are being tested on breast and liver cancer cells.

""This result opens up the potential to develop a novel anti-cancer drug that is derived from a common condiment that could have a lasting impact on treating several cancers,"" McKenna said.

Researchers warn the findings don’t warrant adding large quantities of artificial sweeteners to your diet, but they say their findings may offer promise for the development of an anti-cancer drug derived from an ingredient that ironically was once considered a possible carcinogen.",0,FakeHealth-HealthStory
"Here’s how a five-day diet that mimics fasting may ‘reboot’ the body and reduce cancer risk. AD

AD

Co-author Valter D. Longo, who studies longevity, described the idea behind fasting as a way to ""reboot"" a person's body by clearing out damaged cells and regenerating new ones.

""It's about reprogramming the body so it enters a slower aging mode, but also rejuvenating it ..."" he said. ""It's not a typical diet because it isn't something you need to stay on.""

The diet described in the study -- which the researchers dubbed the ""Fasting Mimicking Diet"" -- isn't quite as extreme as actual fasting. It works like this:

For 25 days out of the month, dieters can eat as they normally would -- the good, bad and in-between. Then for day one of the diet, they would eat 1,090 calories: 10 percent protein, 56 percent fat and 34 percent carbohydrates. For days two through five, 725 calories: 9 percent protein, 44 percent fat, 47 percent carbohydrates.

AD

AD

In the study, participants consumed a lot of vegetable soup, kale crackers and chamomile tea. The calories consumed are 54 to 34 percent of what a typical person might eat in a day.

The participants in the study did this for three cycles or three months before the researchers measured them and found decreased risk factors and biomarkers for disease with no major adverse side effects.

Petronella Ravenshear, a nutritional therapist in London, told the Telegraph that the new diet ""is less of a stressor on the body than complete fasting.""

""It supplies most of the carbohydrates in the form of vegetables which are packed with phytonutrients and minerals and positively good for us, rather than grain-derived carbohydrates which don’t supply much except sugar,"" she said.

AD

Special report:

HUMAN UPGRADE:

Part I: Tech titans' latest project: Defy death: For centuries explores have searched the Earth for the fountain of youth. Today's billionaires think they can create it, using technology and data.

AD

Part II: The revolution will be digitized: Spearheaded by the flood of wearable devices, a movement to quantify consumers' lifestyles is evolving into big business with immense health and privacy ramifications.

Read more:

AD",0,FakeHealth-HealthStory
"DNA Blood Test Gives Women A New Option For Prenatal Screening. DNA Blood Test Gives Women A New Option For Prenatal Screening

Enlarge this image toggle caption iStockphoto iStockphoto

When Amy Seitz got pregnant with her second child last year, she knew that being 35 years old meant there was an increased chance of chromosomal disorders like Down syndrome. She wanted to be screened, and she knew just what kind of screening she wanted — a test that's so new, some women and doctors don't quite realize what they've signed up for.

This kind of test , called cell free fetal DNA testing, uses a simple blood sample from an expectant mother to analyze bits of fetal DNA that have leaked into her bloodstream. It's only been on the market since October 2011 and is not regulated by the Food and Drug Administration — the FDA does not regulate this type of genetic testing service. Several companies now offer the test, including Sequenom and Illumina. Insurance coverage varies, and doctors often only offer this testing to women at higher risk because of things like advanced maternal age.

""I think that I initially heard about it through family and friends,"" says Seitz. ""They had had the option of it given to them by their doctors.""

To her, it sounded great. She didn't want an invasive procedure like amniocentesis or chorionic villus sampling.Those are considered the gold standard for prenatal genetic testing, but doctors must put a needle into the womb to collect cells that contain fetal DNA, which means a small risk of miscarriage.

""I wasn't interested in going as far as getting an amniocentesis because of the risk associated with that,"" she explains, ""and so when I heard about this test, that was part of the reason that I was most interested in it.""

This new way of testing fetal DNA seemed to have already become fairly common where Seitz used to live, in Washington, D.C. But she had recently moved to Alabama, and the clinic she went to there wasn't as familiar with it — although when she talked to her doctor, she learned the clinic had just had a visit from a company's sales representative.

""I think it was a fairly new test for them at that point, but she was interested in pursuing it further to see what needed to be done,"" Seitz says.

Seitz got her blood drawn last July, becoming one of hundreds of thousands of pregnant women who've opted for this new kind of test instead of the more traditional, invasive ones. Doctors say the impact has been huge.

""Those of us in the field who do diagnostic procedures like CVS and amnio have seen a drastic decrease in the number of those procedures that are being performed,"" says Dr. Mary Norton, an expert on maternal-fetal medicine and genetics at the University of California, San Francisco. ""Places are reporting doing fewer than half the number of procedures that were being done previously.""

But, she says, things have changed so quickly that it may be hard for doctors and patients to know what they're dealing with.

""It's still new and it's quite different than previous genetic testing that's been available,"" says Norton. ""It's quite a different paradigm, if you will.""

An invasive test like amniocentesis or CVS lets doctors get a complete picture of the chromosomes and a solid diagnosis.

Until the new testing technology came along, the only less invasive option was for an expectant mother to get an ultrasound, plus have her blood tested for specific proteins. This can reveal if there's an increased risk of certain disorders, but it's not very accurate and produces a lot of false alarms.

Studies have shown that the new fetal DNA tests do a better job, says Norton. They're less likely to flag a normal pregnancy as high risk.

""They're much more accurate than current screening tests, but they are not diagnostic tests in the sense that amniocentesis is,"" says Norton, ""and so I think that has led to some confusion.""

Even though the newer blood tests do look at fetal DNA, they can't give a definitive answer like an amniocentesis can because they're analyzing scraps of fetal DNA in the mother's blood that are all mixed up with her own DNA.

Norton says when women get worrisome results from one of these new tests and are referred to her center, they sometimes don't understand why doctors are offering a follow-up amnio ""because they were under the impression that this was as good as an amnio.""

She is concerned that some people might end a pregnancy without getting confirmatory testing and points to one study last year that found a small number of women did that.

""There's at least some evidence that it's happening to a greater degree than I think many of us are comfortable with,"" she says.

The tests are being used more and more widely. Some worry that the companies' websites and marketing materials don't make the limitations clear enough.

But Dr. Lee Shulman doesn't see it that way. He's an obstetrician and geneticist at Northwestern University in Chicago who has consulted for a couple of the testing firms.

""Patients need to understand that while this is better, it is not a diagnostic test, and I think the companies have done a great job in putting this material out,"" he says. ""Whether or not clinicians use this material and take it to heart and use it for patient counseling is a different story.""

He says the technology is so new that a lot of doctors have no experience with it, and consumers need to understand that.

""If the patient, if the couple, are not getting the answers, not getting the information they feel comfortable with, they need to seek out prenatal diagnostic centers, maternal fetal specialists, clinical geneticists, who may have more experience,"" says Shulman.

For example, here's one thing that might turn out to be a little more complicated than would-be parents might expect. Along with screening for the common chromosomal disorders, companies offer parents the chance to learn their baby's sex — weeks before it's clear on a sonogram.

""Many women are very excited by the idea that as part of their blood testing, they could find out pretty definitively if the baby is a boy or a girl,"" says Dr. Diana Bianchi, an expert on prenatal diagnostics at Tufts University School of Medicine.

What they may not realize, she says, is that the test will also determine whether there's something abnormal about the sex chromosomes.

""Approximately 1 in 700 pregnancies there's an extra X or extra Y,"" she says, noting that these are mild conditions that would normally go undetected, unless a woman had an invasive test like an amnio. Some babies with these conditions grow up into adulthood and never know they have them, unless they face a symptom like infertility.

Seitz, in Alabama, thought it was a bonus that getting this new blood test would tell her if she was having a boy or a girl. But it actually didn't do that, because of a paperwork glitch.

""The box for sex got unchecked somewhere along the way, so we weren't able to find it out from the test,"" says Seitz, who learned from an ultrasound that she was having a girl. The results she did get from the fetal DNA test were reassuring.",1,FakeHealth-HealthStory
Young Women at Higher Risk from Heart Attacks. this website is using security service to protect itself from online attacks ..,1,CoAID
Guidance for Institutions of Higher Education with Students Participating in International Travel or Study Abroad Programs. this guidance is for institutes of higher education with students participating in international travel or study abroad programs. given the global outbreak of novel coronavirus covid-19 institutes of higher education ihe should consider postponing or canceling upcoming student international travel programs. ihe should consider asking current program participants to return to their home country. those overseeing student international travel programs should be aware that students may face unp.,1,CoAID
"Exercise, diet or both may protect against excess pregnancy weight. By Andrew M. Seaman

(Reuters Health) - Women who take part in exercise, diet programs or a combination of the two during pregnancy can prevent excessive weight gain, according to a fresh review of past research.

The review incorporates dozens of new studies to update a previous review that did not find enough evidence to support the use of diet and exercise during pregnancy.

After including the new studies, the new review found “high-quality evidence” to show diet, exercise or both can reduce the risk of excessive weight gain during pregnancy, write the researchers in The Cochrane Library.

Other benefits may include a lower risk of cesarean delivery, excessive birth weight, and respiratory

problems in the newborn, “particularly for high-risk women receiving combined diet and exercise interventions,” add the researchers, led by Benja Muktabhant of Khon Kaen University in Thailand.

The U.S. Institute of Medicine says the amount of weight women should gain during pregnancy varies depending on their non-pregnancy weight.

For example, a normal-weight woman should gain between 25 and 35 pounds, while an overweight woman should gain between 15 and 25 pounds. Obese women should gain even less.

Gaining too much weight is tied to an increased risk of complications for both mother and child, according to the researchers, who completed the review for The Cochrane Collaboration, an international organization that evaluates medical research.

For the new review, the researchers examined data from 65 randomized controlled trials, which are considered the “gold standard” of medical research. They were able to combine data from 49 trials involving a total of 11,444 pregnant women.

The women were randomly assigned to a diet, exercise, a combination of the two or standard care. The diets and exercise programs varied, but could include low-glycemic diets and unsupervised exercise.

Women who took part in diet, exercise or combination programs were about 20 percent less likely than women in standard-care groups to gain too much weight while pregnant, the researchers report.

The women who took part in diet, exercise and combination programs were also less likely to develop high blood pressure during pregnancy, compared to those in the standard care group.

There was no clear benefit among the women in the diet and exercise groups when the researchers looked at other complications, such as cesarean delivery, but it did look like there may be some benefit, they write.

While the new study generally did not show fewer complications in the diet and exercise group, Dr. Loralei Thornburg told Reuters Health that it’s good that there was no increase in complications.

“This was very reassuring that there wasn’t an increased risk of preterm birth with moderate exercise,” said Thornburg, a high-risk pregnancy expert at the University of Rochester Medical Center in New York.

“Most people gain more weight than they probably should during pregnancy,” Thornburg, who was not involved with the review, told Reuters Health.

She said women who gain too much weight may not be able to lose it after the baby is born. Then, during the next pregnancy the woman is already heavier and that may increase the risk of complications.

“In the next pregnancy, if you don’t get it off, you may go from obese to very obese,” Thornburg said.

She cautioned, however, that women should check with their doctors before starting a diet and exercise program during pregnancy.

SOURCE: bit.ly/1C3lYDc The Cochrane Library, online June 11, 2015.",1,FakeHealth-HealthStory
“Half the workforce in the country may have just been idled” by coronavirus.,0,CoAID
Ventilator or Hospice? COVID-19 Strains Care System. april 14 2020 -- at age 76 bob odrowski could still chase his grandchildren. he loved being outdoors and walked a lot. he kept a standing daily coffee date with his buddies -- he called them the boys -- at mcdonalds or dunkin. several times a week he would swing by his daughter tracys house in canton mi to dote on his family particularly 3-year old jestine. on march 21 a saturday he called tracy to let her know he was nt feeling well. he would nt be able to come over on monday as u.,1,CoAID
"Experimental Antidepressant Appears Quick-Acting, Safe. By Steven Reinberg

HealthDay Reporter

FRIDAY, Dec. 7, 2012 (HealthDay News) -- An experimental antidepressant that targets the brain in a different way appears to both act fast and last long, researchers say.

The new drug -- called GLYX-13 -- is so far given in an intravenous form and was recently tested in patients who had not responded to other antidepressants. It began its work within hours and a single dose lasted about a week, Northwestern University researchers reported.

""We saw a robust, rapid-acting, long-lasting effect,"" said lead researcher Joseph Moskal, a research professor of biomedical engineering at Northwestern's McCormick School of Engineering and Applied Science and director of the school's Falk Center for Molecular Therapeutics. ""In addition, we have shown little or no side effects with our compound.""

One expert said the drug might prove a valuable tool against depression.

""It sounds like an exciting development,"" Dr. Bryan Bruno, acting chair of psychiatry at Lenox Hill Hospital in New York City said. If it were a pill, the drug could change treatment for many patients, he added. ""Because it's so quick it would be a huge advantage over our current medications all of which take six to eight weeks for the full effect and at least three to four weeks to start working for most people,"" Bruno said.

Currently, the most popular drugs to treat depression are called selective serotonin reuptake inhibitors, or SSRIs. These include Prozac, Paxil, Zoloft and Lexapro. They work by improving levels of the hormone serotonin, which may be too low in people suffering from depression.

Although SSRIs are effective in many people, not all respond to the same drugs and some people don't respond well.

GLYX-13, the new drug, is still being studied and it isn't projected to be available before some time in 2016, Moskal said. Many unknowns remain about the drug, including its long-term effects, whether some people won't respond to it and the effects of stopping its use.

Moskal, however, said he is confident that this drug will be a breakthrough in treating depression. Given the results so far, he said, people won't need to take the drug every day, only once a week or less.

The GLYX-13 study is a phase 2 trial, which evaluates a drug's effectiveness while continuing to assess its safety.

The results were presented Thursday at the American College of Neuropsychopharmacology annual meeting in Hollywood, Fla. Findings from the team's animal research that led to the new method appeared online Dec. 3 in the journal Neuropsychopharmacology.

Moskal is the founder and chief scientific officer of the biotechnology firm Naurex Inc., which conducted the study. Northwestern University has licensed the intellectual property rights to certain therapeutics developed by Moskal to Naurex, according to a Northwestern news release.

The study received funding from the U.S. National Institutes of Health among others.

GLYX-13 targets parts of the brain linked to learning and memory. An advantage is that the drug doesn't have the side effects of other drugs that target these same areas, such as hallucinations and schizophrenia-like symptoms, the researchers noted.

Moskal's team developed a new way to target the brain's NMDA (N-methyl-D-aspartate) receptor to achieve these results. The clinical trial included about 120 patients, Moskal said. Patients were either given the drug or an inactive placebo.

Antidepressant effects of the drug were seen within 24 hours and lasted an average of seven days. The effect of the drug was substantially better than seen with other antidepressants, the researchers found. The drug was so well received by patients that many who were in the trial have called asking to be in any further trials, Moskal said.

A new trial that makes use of the drug in pill form is slated to get under way next year, Moskal noted.

Because the drug targets these areas of the brain it might also help people with other problems such as schizophrenia, bipolar disorder, anxiety and Alzheimer's disease, the researchers suggested.

For his part, Bruno cautioned that the long-term effects of the drug need to be studied before it can be used regularly in clinical practice.

Findings presented at medical meetings are typically considered preliminary until published in a peer-reviewed journal.

More information

To learn more about depression, visit the U.S. National Institute of Mental Health.",1,FakeHealth-HealthStory
"Beaches, Lakes, Pools: Is COVID-19 in the Water?. april 9 2020 -- when gov. brian kemp of georgia issued his state 's stay at home order it included an exemption that surprised many he declared all the beaches in the state open overruling local officials that had closed theirs. their concerns related to social distancing and the fear their small coastal communities would be overwhelmed. and experts agree its not the beach itself that s a threat as much as it is other beachgoers. there is one small way the water might pose a hazard. kimber.",1,CoAID
"'Summer is not going to make this go away,' study concludes. a recent study asks which factors impact the progression of the covid-19 pandemic. the authors investigate meteorological factors and public health measures across multiple geographical locations. a new study concludes that public health measures slow the virus but increases in temperature do not. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most re.",1,CoAID
Here’s Why Seasonal Flu Vaccines Only Last a Few Months. getting flu shot this fall is vital in fighting seasonal influenza and helping to avoid twindemic of flu and covid-19 this winter. getty images with covid-19 pandemic already straining healthcare centers this year its more important than ever to get your annual flu shot. flu virus changes yearly as multiple strains spread throughout community and virus adapts itself for survival. it takes between 3 and 4 weeks for someone to develop immunity against predicted st.,1,CoAID
